full_name,party_id,table_number
Alice Johnson,P001,1
Bob Johnson,P001,1
Charlie Smith,P002,1
Dana Smith,P002,1
Ethan Brown,P003,2
Fiona Brown,P003,2
George Brown,P003,2
Hannah Davis,P004,2
Ian Wilson,P005,3
Julia Wilson,P005,3
Kevin Martinez,P006,3
Laura Martinez,P006,3
Michael Anderson,P007,4
Nina Anderson,P007,4
Oscar Thomas,P008,4
Patricia Thomas,P008,4
Quincy Lee,P009,5
Rachel Lee,P009,5
Samuel Lee,P009,5
Tina Garcia,P011,6
Uma Patel,P012,6
Victor Patel,P012,6
Wendy Clark,P013,7
Xavier Clark,P013,7
Yara Lewis,P014,7
Zachary Walker,P015,8
Michael Anderson,P016,8
Emma Hall,P016,8
